pretrain_env_ok 2.5.1+cu121
Loading tokenizer from: wikizh_tokenizer_whitespace.json
Using device: cuda
Total model parameters: 165,686,784 (165.69M)
Checkpoints will be saved to: /home/xuyang_lab/cse12212752/A3-code/CS310-Natural-Language-Processing/coding assignment/A3/model_checkpoints

Starting training...
Reading single file: wikizh.txt
Using data fraction: 0.030 (13,606,113 chars)
Data path: wikizh.txt
Total text size: 13,606,127 characters
Train/Val batches: 3,452/388
Vocab size: 52,000
Context length: 1024
Batch size: 4
Epoch 1/20 | Step 100 | Train loss 8.6498 | Val loss 8.5588 | Tokens seen 409,600
Epoch 1/20 | Step 200 | Train loss 8.3288 | Val loss 8.4958 | Tokens seen 819,200
Epoch 1/20 | Step 300 | Train loss 8.3789 | Val loss 8.4608 | Tokens seen 1,228,800
Epoch 1/20 | Step 400 | Train loss 8.3621 | Val loss 8.4164 | Tokens seen 1,638,400
Epoch 1/20 | Step 500 | Train loss 8.3087 | Val loss 8.3829 | Tokens seen 2,048,000
Epoch 1/20 | Step 600 | Train loss 8.2410 | Val loss 8.3245 | Tokens seen 2,457,600
Epoch 1/20 | Step 700 | Train loss 8.3290 | Val loss 8.2674 | Tokens seen 2,867,200
Epoch 1/20 | Step 800 | Train loss 7.9908 | Val loss 8.2686 | Tokens seen 3,276,800
Epoch 1/20 | Step 900 | Train loss 8.0512 | Val loss 8.2430 | Tokens seen 3,686,400
Epoch 1/20 | Step 1,000 | Train loss 8.1576 | Val loss 8.1727 | Tokens seen 4,096,000
Saved checkpoint: model_checkpoints/checkpoint_step_1000.pth
Epoch 1/20 | Step 1,100 | Train loss 8.3233 | Val loss 8.0879 | Tokens seen 4,505,600
Epoch 1/20 | Step 1,200 | Train loss 8.2773 | Val loss 8.0871 | Tokens seen 4,915,200
Epoch 1/20 | Step 1,300 | Train loss 8.0321 | Val loss 8.0208 | Tokens seen 5,324,800
Epoch 1/20 | Step 1,400 | Train loss 7.8404 | Val loss 7.9738 | Tokens seen 5,734,400
Epoch 1/20 | Step 1,500 | Train loss 8.0629 | Val loss 7.9084 | Tokens seen 6,144,000
Epoch 1/20 | Step 1,600 | Train loss 7.9088 | Val loss 7.8740 | Tokens seen 6,553,600
Epoch 1/20 | Step 1,700 | Train loss 7.9038 | Val loss 7.8454 | Tokens seen 6,963,200
Epoch 1/20 | Step 1,800 | Train loss 8.0037 | Val loss 7.7950 | Tokens seen 7,372,800
Epoch 1/20 | Step 1,900 | Train loss 7.6756 | Val loss 7.8307 | Tokens seen 7,782,400
Epoch 1/20 | Step 2,000 | Train loss 8.0041 | Val loss 7.7162 | Tokens seen 8,192,000
Saved checkpoint: model_checkpoints/checkpoint_step_2000.pth
Epoch 1/20 | Step 2,100 | Train loss 7.4762 | Val loss 7.6573 | Tokens seen 8,601,600
Epoch 1/20 | Step 2,200 | Train loss 7.7814 | Val loss 7.6559 | Tokens seen 9,011,200
Epoch 1/20 | Step 2,300 | Train loss 7.1418 | Val loss 7.6103 | Tokens seen 9,420,800
Epoch 1/20 | Step 2,400 | Train loss 7.4862 | Val loss 7.5894 | Tokens seen 9,830,400
Epoch 1/20 | Step 2,500 | Train loss 7.6820 | Val loss 7.5324 | Tokens seen 10,240,000
Epoch 1/20 | Step 2,600 | Train loss 7.0196 | Val loss 7.4688 | Tokens seen 10,649,600
Epoch 1/20 | Step 2,700 | Train loss 7.4672 | Val loss 7.4683 | Tokens seen 11,059,200
Epoch 1/20 | Step 2,800 | Train loss 7.6883 | Val loss 7.3869 | Tokens seen 11,468,800
Epoch 1/20 | Step 2,900 | Train loss 7.2984 | Val loss 7.4192 | Tokens seen 11,878,400
Epoch 1/20 | Step 3,000 | Train loss 7.3221 | Val loss 7.3815 | Tokens seen 12,288,000
Saved checkpoint: model_checkpoints/checkpoint_step_3000.pth
Epoch 1/20 | Step 3,100 | Train loss 7.2163 | Val loss 7.3684 | Tokens seen 12,697,600
Epoch 1/20 | Step 3,200 | Train loss 7.2503 | Val loss 7.2974 | Tokens seen 13,107,200
Epoch 1/20 | Step 3,300 | Train loss 7.2356 | Val loss 7.2995 | Tokens seen 13,516,800
Epoch 1/20 | Step 3,400 | Train loss 6.8594 | Val loss 7.2905 | Tokens seen 13,926,400
Epoch 2/20 | Step 3,500 | Train loss 6.7350 | Val loss 7.2419 | Tokens seen 14,336,000
Epoch 2/20 | Step 3,600 | Train loss 7.1074 | Val loss 7.2033 | Tokens seen 14,745,600
Epoch 2/20 | Step 3,700 | Train loss 7.3075 | Val loss 7.2067 | Tokens seen 15,155,200
