pretrain_env_ok 2.5.1+cu121
Loading tokenizer from: wikizh_tokenizer_whitespace.json
Using device: cuda
Total model parameters: 165,686,784 (165.69M)
Checkpoints will be saved to: /home/xuyang_lab/cse12212752/A3-code/CS310-Natural-Language-Processing/coding assignment/A3/model_checkpoints_best

Starting training...
Using data fraction: 0.160 (133,964,962 chars sampled across the corpus)
Data path: wikizh.txt
Total text size: 133,964,962 characters
Train/Val batches: 10,316/1,132
Vocab size: 52,000
Context length: 1024
Batch size: 8
Warmup steps: 1200
Minimum LR ratio: 0.2
Gradient clip norm: 1.0
Gradient accumulation: 1
Near-target trigger: 5.35
Near-target LR floor ratio: 0.6
Near-target eval_iter: 20
Effective data_fraction: 0.160
Effective train_ratio: 0.900
Effective eval_iter: 8
Epoch 1/3 | Step 100 | Train loss 9.2656 | Val loss 9.4025 | Tokens seen 819,200
Epoch 1/3 | Step 200 | Train loss 8.3898 | Val loss 8.6641 | Tokens seen 1,638,400
Epoch 1/3 | Step 300 | Train loss 8.1560 | Val loss 8.2340 | Tokens seen 2,457,600
Epoch 1/3 | Step 400 | Train loss 7.9619 | Val loss 8.1180 | Tokens seen 3,276,800
Epoch 1/3 | Step 500 | Train loss 7.9768 | Val loss 8.0799 | Tokens seen 4,096,000
Epoch 1/3 | Step 600 | Train loss 7.8760 | Val loss 8.0580 | Tokens seen 4,915,200
Epoch 1/3 | Step 700 | Train loss 7.8996 | Val loss 8.0393 | Tokens seen 5,734,400
Epoch 1/3 | Step 800 | Train loss 7.9119 | Val loss 8.0153 | Tokens seen 6,553,600
Epoch 1/3 | Step 900 | Train loss 7.7047 | Val loss 7.9856 | Tokens seen 7,372,800
Epoch 1/3 | Step 1,000 | Train loss 7.8971 | Val loss 7.9438 | Tokens seen 8,192,000
Epoch 1/3 | Step 1,100 | Train loss 7.6988 | Val loss 7.9169 | Tokens seen 9,011,200
Epoch 1/3 | Step 1,200 | Train loss 7.6922 | Val loss 7.8605 | Tokens seen 9,830,400
Epoch 1/3 | Step 1,300 | Train loss 7.6941 | Val loss 7.8137 | Tokens seen 10,649,600
Epoch 1/3 | Step 1,400 | Train loss 7.6083 | Val loss 7.7515 | Tokens seen 11,468,800
Epoch 1/3 | Step 1,500 | Train loss 7.4728 | Val loss 7.7015 | Tokens seen 12,288,000
Epoch 1/3 | Step 1,600 | Train loss 7.4979 | Val loss 7.6429 | Tokens seen 13,107,200
Epoch 1/3 | Step 1,700 | Train loss 7.4991 | Val loss 7.5949 | Tokens seen 13,926,400
Epoch 1/3 | Step 1,800 | Train loss 7.3120 | Val loss 7.5216 | Tokens seen 14,745,600
Epoch 1/3 | Step 1,900 | Train loss 7.1764 | Val loss 7.4661 | Tokens seen 15,564,800
Epoch 1/3 | Step 2,000 | Train loss 7.0808 | Val loss 7.4067 | Tokens seen 16,384,000
Epoch 1/3 | Step 2,100 | Train loss 7.0488 | Val loss 7.3598 | Tokens seen 17,203,200
Epoch 1/3 | Step 2,200 | Train loss 7.2022 | Val loss 7.3074 | Tokens seen 18,022,400
Epoch 1/3 | Step 2,300 | Train loss 7.1282 | Val loss 7.2880 | Tokens seen 18,841,600
Epoch 1/3 | Step 2,400 | Train loss 7.0687 | Val loss 7.2265 | Tokens seen 19,660,800
Epoch 1/3 | Step 2,500 | Train loss 7.0275 | Val loss 7.2031 | Tokens seen 20,480,000
Epoch 1/3 | Step 2,600 | Train loss 6.9412 | Val loss 7.1619 | Tokens seen 21,299,200
Epoch 1/3 | Step 2,700 | Train loss 6.7822 | Val loss 7.1363 | Tokens seen 22,118,400
Epoch 1/3 | Step 2,800 | Train loss 6.8393 | Val loss 7.0814 | Tokens seen 22,937,600
Epoch 1/3 | Step 2,900 | Train loss 6.7507 | Val loss 7.0466 | Tokens seen 23,756,800
Epoch 1/3 | Step 3,000 | Train loss 6.8892 | Val loss 7.0356 | Tokens seen 24,576,000
