Host: titanrtx01
SLURM_JOB_ID: 76404
CUDA_VISIBLE_DEVICES: 0
GPU 0: NVIDIA TITAN RTX (UUID: GPU-32878bcc-425f-19f9-1e3e-33b280fde5e2)
pretrain_env_ok 2.5.1+cu121
cuda_available True
cuda_device_count 1
cuda_device_0 NVIDIA TITAN RTX
Loading tokenizer from: wikizh_tokenizer_whitespace.json
Using device: cuda
Total model parameters: 165,686,784 (165.69M)
Checkpoints will be saved to: /home/xuyang_lab/cse12212752/A3-code/CS310-Natural-Language-Processing/coding assignment/A3/model_checkpoints

Starting training...
Using data fraction: 0.080 (37,416,823 chars sampled across the corpus)
Data path: wikizh.txt
Total text size: 37,416,837 characters
Train/Val batches: 9,918/510
Vocab size: 52,000
Context length: 1024
Batch size: 4
Warmup steps: 732
Minimum LR ratio: 0.2
Gradient clip norm: 1.0
Effective data_fraction: 0.080
Effective train_ratio: 0.950
Effective eval_iter: 8
Epoch 1/5 | Step 100 | Train loss 9.3502 | Val loss 9.3257 | Tokens seen 409,600
Epoch 1/5 | Step 200 | Train loss 8.7166 | Val loss 8.7304 | Tokens seen 819,200
Epoch 1/5 | Step 300 | Train loss 8.6464 | Val loss 8.6764 | Tokens seen 1,228,800
Epoch 1/5 | Step 400 | Train loss 8.6610 | Val loss 8.6400 | Tokens seen 1,638,400
Epoch 1/5 | Step 500 | Train loss 8.5874 | Val loss 8.5916 | Tokens seen 2,048,000
Epoch 1/5 | Step 600 | Train loss 8.5574 | Val loss 8.5852 | Tokens seen 2,457,600
Epoch 1/5 | Step 700 | Train loss 8.5139 | Val loss 8.5147 | Tokens seen 2,867,200
Epoch 1/5 | Step 800 | Train loss 8.4297 | Val loss 8.4655 | Tokens seen 3,276,800
Epoch 1/5 | Step 900 | Train loss 8.3443 | Val loss 8.3854 | Tokens seen 3,686,400
Epoch 1/5 | Step 1,000 | Train loss 8.2228 | Val loss 8.3229 | Tokens seen 4,096,000
Saved checkpoint: model_checkpoints/checkpoint_step_1000.pth
Epoch 1/5 | Step 1,100 | Train loss 8.1583 | Val loss 8.2517 | Tokens seen 4,505,600
Epoch 1/5 | Step 1,200 | Train loss 8.0347 | Val loss 8.2191 | Tokens seen 4,915,200
Epoch 1/5 | Step 1,300 | Train loss 8.1363 | Val loss 8.1514 | Tokens seen 5,324,800
Epoch 1/5 | Step 1,400 | Train loss 8.1318 | Val loss 8.0871 | Tokens seen 5,734,400
Epoch 1/5 | Step 1,500 | Train loss 7.8483 | Val loss 8.0326 | Tokens seen 6,144,000
Epoch 1/5 | Step 1,600 | Train loss 7.8740 | Val loss 7.9753 | Tokens seen 6,553,600
Epoch 1/5 | Step 1,700 | Train loss 7.9306 | Val loss 7.9308 | Tokens seen 6,963,200
Epoch 1/5 | Step 1,800 | Train loss 7.7166 | Val loss 7.8706 | Tokens seen 7,372,800
Epoch 1/5 | Step 1,900 | Train loss 7.7764 | Val loss 7.8295 | Tokens seen 7,782,400
Epoch 1/5 | Step 2,000 | Train loss 7.7603 | Val loss 7.7857 | Tokens seen 8,192,000
Saved checkpoint: model_checkpoints/checkpoint_step_2000.pth
Epoch 1/5 | Step 2,100 | Train loss 7.8238 | Val loss 7.7493 | Tokens seen 8,601,600
Epoch 1/5 | Step 2,200 | Train loss 7.5536 | Val loss 7.6683 | Tokens seen 9,011,200
Epoch 1/5 | Step 2,300 | Train loss 7.2605 | Val loss 7.6587 | Tokens seen 9,420,800
Epoch 1/5 | Step 2,400 | Train loss 7.6576 | Val loss 7.5761 | Tokens seen 9,830,400
Epoch 1/5 | Step 2,500 | Train loss 7.5109 | Val loss 7.5346 | Tokens seen 10,240,000
Epoch 1/5 | Step 2,600 | Train loss 7.3948 | Val loss 7.4787 | Tokens seen 10,649,600
Epoch 1/5 | Step 2,700 | Train loss 7.3019 | Val loss 7.4257 | Tokens seen 11,059,200
Epoch 1/5 | Step 2,800 | Train loss 7.4501 | Val loss 7.3604 | Tokens seen 11,468,800
Epoch 1/5 | Step 2,900 | Train loss 7.2892 | Val loss 7.3450 | Tokens seen 11,878,400
Epoch 1/5 | Step 3,000 | Train loss 7.2113 | Val loss 7.2993 | Tokens seen 12,288,000
Saved checkpoint: model_checkpoints/checkpoint_step_3000.pth
Epoch 1/5 | Step 3,100 | Train loss 7.1445 | Val loss 7.2613 | Tokens seen 12,697,600
Epoch 1/5 | Step 3,200 | Train loss 6.9888 | Val loss 7.2420 | Tokens seen 13,107,200
Epoch 1/5 | Step 3,300 | Train loss 7.2019 | Val loss 7.1967 | Tokens seen 13,516,800
Epoch 1/5 | Step 3,400 | Train loss 7.0432 | Val loss 7.1420 | Tokens seen 13,926,400
Epoch 1/5 | Step 3,500 | Train loss 6.9466 | Val loss 7.1231 | Tokens seen 14,336,000
Epoch 1/5 | Step 3,600 | Train loss 6.9053 | Val loss 7.0591 | Tokens seen 14,745,600
Epoch 1/5 | Step 3,700 | Train loss 6.9723 | Val loss 7.0308 | Tokens seen 15,155,200
Epoch 1/5 | Step 3,800 | Train loss 6.8115 | Val loss 6.9929 | Tokens seen 15,564,800
Epoch 1/5 | Step 3,900 | Train loss 6.9206 | Val loss 6.9755 | Tokens seen 15,974,400
Epoch 1/5 | Step 4,000 | Train loss 6.7426 | Val loss 6.9319 | Tokens seen 16,384,000
Saved checkpoint: model_checkpoints/checkpoint_step_4000.pth
Epoch 1/5 | Step 4,100 | Train loss 6.4845 | Val loss 6.8950 | Tokens seen 16,793,600
Epoch 1/5 | Step 4,200 | Train loss 6.7041 | Val loss 6.8816 | Tokens seen 17,203,200
Epoch 1/5 | Step 4,300 | Train loss 6.7501 | Val loss 6.8452 | Tokens seen 17,612,800
Epoch 1/5 | Step 4,400 | Train loss 6.6736 | Val loss 6.8035 | Tokens seen 18,022,400
Epoch 1/5 | Step 4,500 | Train loss 6.6380 | Val loss 6.7603 | Tokens seen 18,432,000
Epoch 1/5 | Step 4,600 | Train loss 6.7648 | Val loss 6.7433 | Tokens seen 18,841,600
Epoch 1/5 | Step 4,700 | Train loss 6.4838 | Val loss 6.6959 | Tokens seen 19,251,200
Epoch 1/5 | Step 4,800 | Train loss 6.6582 | Val loss 6.6780 | Tokens seen 19,660,800
Epoch 1/5 | Step 4,900 | Train loss 6.6981 | Val loss 6.6574 | Tokens seen 20,070,400
Epoch 1/5 | Step 5,000 | Train loss 6.4110 | Val loss 6.6217 | Tokens seen 20,480,000
Saved checkpoint: model_checkpoints/checkpoint_step_5000.pth
Epoch 1/5 | Step 5,100 | Train loss 6.6308 | Val loss 6.5977 | Tokens seen 20,889,600
Epoch 1/5 | Step 5,200 | Train loss 6.5047 | Val loss 6.5760 | Tokens seen 21,299,200
Epoch 1/5 | Step 5,300 | Train loss 6.3702 | Val loss 6.5519 | Tokens seen 21,708,800
Epoch 1/5 | Step 5,400 | Train loss 6.4367 | Val loss 6.5022 | Tokens seen 22,118,400
Epoch 1/5 | Step 5,500 | Train loss 6.4752 | Val loss 6.4958 | Tokens seen 22,528,000
Epoch 1/5 | Step 5,600 | Train loss 6.2593 | Val loss 6.4713 | Tokens seen 22,937,600
Epoch 1/5 | Step 5,700 | Train loss 6.3458 | Val loss 6.4501 | Tokens seen 23,347,200
Epoch 1/5 | Step 5,800 | Train loss 6.3712 | Val loss 6.4209 | Tokens seen 23,756,800
Epoch 1/5 | Step 5,900 | Train loss 6.2407 | Val loss 6.3968 | Tokens seen 24,166,400
Epoch 1/5 | Step 6,000 | Train loss 6.1609 | Val loss 6.3599 | Tokens seen 24,576,000
Saved checkpoint: model_checkpoints/checkpoint_step_6000.pth
Epoch 1/5 | Step 6,100 | Train loss 6.1975 | Val loss 6.3434 | Tokens seen 24,985,600
Epoch 1/5 | Step 6,200 | Train loss 6.2614 | Val loss 6.3345 | Tokens seen 25,395,200
Epoch 1/5 | Step 6,300 | Train loss 6.1078 | Val loss 6.3148 | Tokens seen 25,804,800
Epoch 1/5 | Step 6,400 | Train loss 6.0342 | Val loss 6.2821 | Tokens seen 26,214,400
Epoch 1/5 | Step 6,500 | Train loss 6.1343 | Val loss 6.2735 | Tokens seen 26,624,000
Epoch 1/5 | Step 6,600 | Train loss 5.8838 | Val loss 6.2592 | Tokens seen 27,033,600
Epoch 1/5 | Step 6,700 | Train loss 6.1855 | Val loss 6.2462 | Tokens seen 27,443,200
Epoch 1/5 | Step 6,800 | Train loss 6.0231 | Val loss 6.2356 | Tokens seen 27,852,800
Epoch 1/5 | Step 6,900 | Train loss 6.0190 | Val loss 6.2034 | Tokens seen 28,262,400
Epoch 1/5 | Step 7,000 | Train loss 6.0510 | Val loss 6.1872 | Tokens seen 28,672,000
Saved checkpoint: model_checkpoints/checkpoint_step_7000.pth
Epoch 1/5 | Step 7,100 | Train loss 6.0547 | Val loss 6.1747 | Tokens seen 29,081,600
Epoch 1/5 | Step 7,200 | Train loss 6.0300 | Val loss 6.1464 | Tokens seen 29,491,200
Epoch 1/5 | Step 7,300 | Train loss 5.9304 | Val loss 6.1251 | Tokens seen 29,900,800
Epoch 1/5 | Step 7,400 | Train loss 5.6495 | Val loss 6.1172 | Tokens seen 30,310,400
Epoch 1/5 | Step 7,500 | Train loss 5.8857 | Val loss 6.1064 | Tokens seen 30,720,000
Epoch 1/5 | Step 7,600 | Train loss 5.7387 | Val loss 6.0918 | Tokens seen 31,129,600
Epoch 1/5 | Step 7,700 | Train loss 5.7343 | Val loss 6.0770 | Tokens seen 31,539,200
Epoch 1/5 | Step 7,800 | Train loss 5.7001 | Val loss 6.0619 | Tokens seen 31,948,800
Epoch 1/5 | Step 7,900 | Train loss 5.8744 | Val loss 6.0443 | Tokens seen 32,358,400
Epoch 1/5 | Step 8,000 | Train loss 5.7125 | Val loss 6.0315 | Tokens seen 32,768,000
Saved checkpoint: model_checkpoints/checkpoint_step_8000.pth
Epoch 1/5 | Step 8,100 | Train loss 5.7747 | Val loss 6.0184 | Tokens seen 33,177,600
Epoch 1/5 | Step 8,200 | Train loss 5.7660 | Val loss 5.9909 | Tokens seen 33,587,200
Epoch 1/5 | Step 8,300 | Train loss 5.7991 | Val loss 5.9542 | Tokens seen 33,996,800
Epoch 1/5 | Step 8,400 | Train loss 5.6526 | Val loss 5.9482 | Tokens seen 34,406,400
Epoch 1/5 | Step 8,500 | Train loss 5.6047 | Val loss 5.9391 | Tokens seen 34,816,000
Epoch 1/5 | Step 8,600 | Train loss 5.5088 | Val loss 5.9231 | Tokens seen 35,225,600
Epoch 1/5 | Step 8,700 | Train loss 5.6827 | Val loss 5.8874 | Tokens seen 35,635,200
Epoch 1/5 | Step 8,800 | Train loss 5.7340 | Val loss 5.8702 | Tokens seen 36,044,800
Epoch 1/5 | Step 8,900 | Train loss 5.7351 | Val loss 5.8673 | Tokens seen 36,454,400
Epoch 1/5 | Step 9,000 | Train loss 5.4507 | Val loss 5.8486 | Tokens seen 36,864,000
Saved checkpoint: model_checkpoints/checkpoint_step_9000.pth
Epoch 1/5 | Step 9,100 | Train loss 5.6888 | Val loss 5.8438 | Tokens seen 37,273,600
Epoch 1/5 | Step 9,200 | Train loss 5.5255 | Val loss 5.8238 | Tokens seen 37,683,200
Epoch 1/5 | Step 9,300 | Train loss 5.6340 | Val loss 5.8093 | Tokens seen 38,092,800
Epoch 1/5 | Step 9,400 | Train loss 5.4420 | Val loss 5.8077 | Tokens seen 38,502,400
Epoch 1/5 | Step 9,500 | Train loss 5.5108 | Val loss 5.7924 | Tokens seen 38,912,000
Epoch 1/5 | Step 9,600 | Train loss 5.3531 | Val loss 5.7815 | Tokens seen 39,321,600
Epoch 1/5 | Step 9,700 | Train loss 5.3525 | Val loss 5.7659 | Tokens seen 39,731,200
Epoch 1/5 | Step 9,800 | Train loss 5.1865 | Val loss 5.7587 | Tokens seen 40,140,800
Epoch 1/5 | Step 9,900 | Train loss 5.4159 | Val loss 5.7555 | Tokens seen 40,550,400
Epoch 2/5 | Step 10,000 | Train loss 5.4092 | Val loss 5.7295 | Tokens seen 40,960,000
Saved checkpoint: model_checkpoints/checkpoint_step_10000.pth
Epoch 2/5 | Step 10,100 | Train loss 5.4704 | Val loss 5.7166 | Tokens seen 41,369,600
Epoch 2/5 | Step 10,200 | Train loss 5.2210 | Val loss 5.7133 | Tokens seen 41,779,200
Epoch 2/5 | Step 10,300 | Train loss 5.4335 | Val loss 5.7119 | Tokens seen 42,188,800
Epoch 2/5 | Step 10,400 | Train loss 5.5694 | Val loss 5.7016 | Tokens seen 42,598,400
Epoch 2/5 | Step 10,500 | Train loss 5.3164 | Val loss 5.6868 | Tokens seen 43,008,000
Epoch 2/5 | Step 10,600 | Train loss 5.3652 | Val loss 5.6837 | Tokens seen 43,417,600
Epoch 2/5 | Step 10,700 | Train loss 5.2380 | Val loss 5.6566 | Tokens seen 43,827,200
Epoch 2/5 | Step 10,800 | Train loss 5.3053 | Val loss 5.6649 | Tokens seen 44,236,800
Epoch 2/5 | Step 10,900 | Train loss 5.3762 | Val loss 5.6405 | Tokens seen 44,646,400
Epoch 2/5 | Step 11,000 | Train loss 5.3321 | Val loss 5.6309 | Tokens seen 45,056,000
Saved checkpoint: model_checkpoints/checkpoint_step_11000.pth
Epoch 2/5 | Step 11,100 | Train loss 5.0927 | Val loss 5.6174 | Tokens seen 45,465,600
Epoch 2/5 | Step 11,200 | Train loss 5.1192 | Val loss 5.6165 | Tokens seen 45,875,200
Epoch 2/5 | Step 11,300 | Train loss 5.2113 | Val loss 5.6140 | Tokens seen 46,284,800
Epoch 2/5 | Step 11,400 | Train loss 5.0303 | Val loss 5.6032 | Tokens seen 46,694,400
Epoch 2/5 | Step 11,500 | Train loss 5.1814 | Val loss 5.5939 | Tokens seen 47,104,000
Epoch 2/5 | Step 11,600 | Train loss 5.2284 | Val loss 5.5937 | Tokens seen 47,513,600
Epoch 2/5 | Step 11,700 | Train loss 5.1092 | Val loss 5.5835 | Tokens seen 47,923,200
Epoch 2/5 | Step 11,800 | Train loss 5.2753 | Val loss 5.5718 | Tokens seen 48,332,800
Epoch 2/5 | Step 11,900 | Train loss 5.0557 | Val loss 5.5754 | Tokens seen 48,742,400
Epoch 2/5 | Step 12,000 | Train loss 5.2617 | Val loss 5.5735 | Tokens seen 49,152,000
Saved checkpoint: model_checkpoints/checkpoint_step_12000.pth
Epoch 2/5 | Step 12,100 | Train loss 5.1139 | Val loss 5.5594 | Tokens seen 49,561,600
Epoch 2/5 | Step 12,200 | Train loss 5.1930 | Val loss 5.5569 | Tokens seen 49,971,200
Epoch 2/5 | Step 12,300 | Train loss 5.1426 | Val loss 5.5555 | Tokens seen 50,380,800
Epoch 2/5 | Step 12,400 | Train loss 5.1663 | Val loss 5.5482 | Tokens seen 50,790,400
Epoch 2/5 | Step 12,500 | Train loss 5.2176 | Val loss 5.5346 | Tokens seen 51,200,000
Epoch 2/5 | Step 12,600 | Train loss 5.2634 | Val loss 5.5342 | Tokens seen 51,609,600
Epoch 2/5 | Step 12,700 | Train loss 5.2209 | Val loss 5.5273 | Tokens seen 52,019,200
Epoch 2/5 | Step 12,800 | Train loss 5.0032 | Val loss 5.5193 | Tokens seen 52,428,800
Epoch 2/5 | Step 12,900 | Train loss 5.1001 | Val loss 5.5132 | Tokens seen 52,838,400
Epoch 2/5 | Step 13,000 | Train loss 5.1286 | Val loss 5.5081 | Tokens seen 53,248,000
Saved checkpoint: model_checkpoints/checkpoint_step_13000.pth
Epoch 2/5 | Step 13,100 | Train loss 4.9599 | Val loss 5.4977 | Tokens seen 53,657,600
Epoch 2/5 | Step 13,200 | Train loss 5.2310 | Val loss 5.4866 | Tokens seen 54,067,200
Epoch 2/5 | Step 13,300 | Train loss 5.1390 | Val loss 5.4822 | Tokens seen 54,476,800
Epoch 2/5 | Step 13,400 | Train loss 5.0335 | Val loss 5.4838 | Tokens seen 54,886,400
Epoch 2/5 | Step 13,500 | Train loss 5.0744 | Val loss 5.4850 | Tokens seen 55,296,000
Epoch 2/5 | Step 13,600 | Train loss 5.0999 | Val loss 5.4773 | Tokens seen 55,705,600
Epoch 2/5 | Step 13,700 | Train loss 4.9189 | Val loss 5.4792 | Tokens seen 56,115,200
Epoch 2/5 | Step 13,800 | Train loss 4.7436 | Val loss 5.4699 | Tokens seen 56,524,800
Epoch 2/5 | Step 13,900 | Train loss 4.9683 | Val loss 5.4588 | Tokens seen 56,934,400
Epoch 2/5 | Step 14,000 | Train loss 4.8958 | Val loss 5.4449 | Tokens seen 57,344,000
Saved checkpoint: model_checkpoints/checkpoint_step_14000.pth
Epoch 2/5 | Step 14,100 | Train loss 4.8782 | Val loss 5.4436 | Tokens seen 57,753,600
Epoch 2/5 | Step 14,200 | Train loss 4.9913 | Val loss 5.4401 | Tokens seen 58,163,200
Epoch 2/5 | Step 14,300 | Train loss 4.7953 | Val loss 5.4258 | Tokens seen 58,572,800
Epoch 2/5 | Step 14,400 | Train loss 5.0222 | Val loss 5.4201 | Tokens seen 58,982,400
Epoch 2/5 | Step 14,500 | Train loss 4.8516 | Val loss 5.4220 | Tokens seen 59,392,000
